                Name             Quantity           Department        Quantity Sold      Quantity Bought              Barcode         CaseQuantity           Sell Price 
              banana                 10.0                    1                  0.0                 10.0                    1                    5                    3 
              banana                 10.0                    1                  0.0                 10.0                    1                    5                    3 
               apple                  1.0                    2                  4.0                  6.0                    1                   11                    6 
              orange                  7.0                    4                  5.0                  4.0                    1                    6                    5 
           nectarine                  3.0                    3                  4.0                  2.0                    1                    9                    4 
             cookies                  5.0                    1                  2.0                  3.0                    1                    3                    2 
               bread                  7.0                    3                  8.0                  5.0                    1                    4                    1 
              banana                  2.0                    1                  9.0                  9.0                    1                    3                    8 
            computer                  7.0                    1                  7.0                  4.0                    1                    2                    6 
                mice                  5.0                    1                  6.0                  2.0                    1                    1                    9 
                 cat                  6.0                    1                  8.0                  3.0                    1                    8                    4 
